transcript_id	gene_id	0	10	18	24	30	40	48	56	64	72
XM_030983428.1	FRK	16.52	11.99	4.74	7.140000000000001	10.22	9.07	7.48	6.81	10.11	9.50
NM_214536.1	FSCN1	38.64	55.09	127.26	319.15	459.43	645.46	648.38	720.28	602.13	544.62
NM_001079542.1	FoxA	0.45	9.85	408.79	648.605	789.41	616.29	399.72	480.10	276.49	272.51
NM_001129812.1	FoxG	0.22	0.28	27.00	110.53999999999999	150.25	136.88	88.63	87.84	83.63	82.51
NM_001079545.1	FoxJ1	1.96	364.28	94.63	93.48	93.80	75.57	62.69	69.24	93.25	103.44
NM_214539.1	GATAc	0.00	0.11	2.14	57.775	18.25	21.89	17.65	14.26	11.82	11.58
XM_011684973.2	GATAc	0.00	0.07	1.19	11.59	8.02	4.13	6.77	4.89	7.17	5.37
NM_001005725.1	GATAe	0.26	0.14	24.73	2.805	0.00	28.36	16.24	19.13	5.90	10.34
XM_011668970.2	GATAe	0.01	0.05	42.64	20.29	38.71	22.19	12.37	12.70	17.01	13.86
XM_011668971.2	GATAe	0.38	0.79	49.58	16.55	50.10	67.19	32.61	33.26	35.25	22.57
NM_214656.1	GCF1	8.67	35.09	10.49	7.959999999999999	11.91	2.76	2.27	1.62	5.88	3.44
XM_030998290.1	GCF1	0.00	0.24	0.54	0.0	0.00	0.17	0.00	0.00	0.00	0.00
NM_214643.2	Gp96	22.53	83.02	83.62	83.69	79.33	113.98	59.99	54.99	74.37	104.53
NM_001145494.1	Gpc-5	1.01	2.87	51.96	88.405	93.51	85.13	49.03	51.32	41.65	50.19
NM_214498.1	Gsc	0.69	0.14	13.12	83.3	169.61	121.64	103.62	97.60	70.13	64.70
NM_001014426.1	H2A	4.88	673.58	8.01	0.0	176.79	31.76	21.00	10.27	6.59	0.00
NM_001123508.1	H2A.F/Z	5731.95	4649.85	9350.54	10538.865000000002	9485.57	4717.27	2779.90	3049.58	3033.57	2614.55
NM_214541.1	H2B-1	0.00	1.61	0.00	0.315	0.00	0.00	0.00	0.00	0.00	0.00
NM_214542.1	H4	4.46	6632.52	1758.73	665.1099999999999	53.00	97.71	18.24	36.17	4.59	0.00
NM_001033010.1	HCN2	0.00	0.00	0.00	0.0	0.00	0.00	0.00	0.00	0.00	0.00
XM_030989780.1	HCN2	0.18	1.40	0.66	0.285	0.12	0.00	0.00	0.05	0.00	0.00
NM_214546.1	HDAC1	419.53	415.85	578.86	469.87	466.98	291.99	160.70	151.84	141.15	163.14
